"logLik","IC","Lack.of.fit","Res.var","model","Site.name"
479.986844308296,-705.973688616592,NA,0.0104127518227469,"W1.3","No Name"
355.645011896301,-705.290023792602,NA,0.0129871919378479,"Lin","No Name"
598.832579237051,-889.665158474102,NA,0.0105596888210445,"W2.3","North Direction"
579.981852935544,-851.963705871088,NA,0.0112492479885083,"LL.3","North Direction"
560.893329953761,-813.786659907522,NA,0.0119934027430746,"W1.3","North Direction"
334.241111694248,-658.482223388495,NA,0.019201680014894,"Cubic","North Direction"
332.617625498095,-657.235250996189,NA,0.0192740176298245,"Quad","North Direction"
283.230841938646,-560.461683877292,NA,0.022709889567212,"Lin","North Direction"
461.400125974883,-912.800251949766,NA,0.00804834080909044,"Cubic","Pelorus East"
580.304130436562,-906.608260873124,NA,0.00655880898878682,"W2.3","Pelorus East"
452.885293938918,-897.770587877836,NA,0.00833172745305833,"Quad","Pelorus East"
574.888333906079,-895.776667812158,NA,0.0067140570745434,"LL.3","Pelorus East"
572.063449524773,-890.126899049546,NA,0.00679648742566758,"W1.3","Pelorus East"
354.768289495988,-703.536578991977,NA,0.0127016360900161,"Lin","Pelorus East"
666.798361545636,-1085.59672309127,1,0.00401752253850711,"W2.3","St Crispin"
665.396460094767,-1082.79292018953,0.999999999999999,0.00404297295014888,"LL.3","St Crispin"
664.32365185991,-1080.64730371982,0.999999999999999,0.00406255777715299,"W1.3","St Crispin"
528.90626464083,-1047.81252928166,NA,0.00545464422162351,"Cubic","St Crispin"
521.760556931722,-1035.52111386344,NA,0.00562030043457643,"Quad","St Crispin"
431.739824772471,-857.479649544942,NA,0.00841166057949581,"Lin","St Crispin"
