ID;Date;Time;No.;PAR;F1;F2;F3;Fm1;Fm2;Fm3;FvFm1;FvFm2;FvFm3;qc;Site.name;Genotype;Tank;Treatment;mFvFm;sdFvFm;mF;sdF;eventID
Chicken_2135;11/03/2022;21:42:13;1;0;0.2698;0.2727;0.2761;0.6276;0.7473;0.7869;0.57;0.635;0.649;0;Chicken;800;8;MMM;0.618;0.042154477816716;0.272866666666667;0.00315330514434195;Aspat_800
Chicken_624;11/03/2022;21:38:19;1;0;0.3138;0.3045;0.3265;0.6891;0.738;0.8016;0.545;0.587;0.593;0;Chicken;800;4;MMM;0.575;0.026153393661244;0.314933333333333;0.0110437010704443;Aspat_800
Chicken_508;11/03/2022;21:20:35;1;0;0.3216;0.3289;0.3328;0.5997;0.6755;0.7067;0.464;0.513;0.529;0;Chicken;800;9;+3C;0.502;0.0338673884437522;0.327766666666667;0.00568536131950585;Aspat_800
Chicken_800;11/03/2022;21:17:50;1;0;0.326;0.2898;0.2913;0.6984;0.7175;0.7405;0.533;0.596;0.607;0;Chicken;800;7;+3C;0.578666666666667;0.0399291038383449;0.302366666666667;0.0204808040206759;Aspat_800
Chicken_904;11/03/2022;21:14:59;1;0;0.3162;0.2952;0.2947;0.7717;0.7879;0.8157;0.59;0.625;0.639;0;Chicken;800;5;+3C;0.618;0.0252388589282479;0.302033333333333;0.0122712400894666;Aspat_800
Chicken_64;11/03/2022;21:37:12;1;0;0.2893;0.2908;0.2874;0.7038;0.7981;0.8221;0.589;0.636;0.65;0;Chicken;800;13;+6C;0.625;0.0319530906173409;0.289166666666667;0.00170391705588428;Aspat_800
Chicken_804;11/03/2022;21:24:43;1;0;0.2434;0.2351;0.2693;0.6197;0.6647;0.7639;0.607;0.646;0.647;0;Chicken;800;3;+6C;0.633333333333333;0.0228108161479009;0.249266666666667;0.0178388153567812;Aspat_800
Chicken_852;11/03/2022;21:32:01;1;0;0.3045;0.2879;0.3055;0.6628;0.6945;0.7502;0.540585395292698;0.585457163426926;0.592775259930685;2;Chicken;800;10;+6C;0.572939272883436;0.0282571881204932;0.2993;0.00988534268500592;Aspat_800
Chicken_2615;11/03/2022;21:02:53;1;0;0.2913;0.3114;0.3123;0.3783;0.4238;0.4081;0.229976209357653;0.265219443133554;0.234746385689782;2;Chicken;800;12;+9C;0.243314012726996;0.0191200040934176;0.305;0.0118730787919562;Aspat_800
Chicken_2707;11/03/2022;20:57:33;1;0;0.1652;0.1999;0.237;0.2253;0.304;0.3671;0.267;0.342;0.354;0;Chicken;800;6;+9C;0.321;0.0471487009365051;0.2007;0.035906684614428;Aspat_800
Chicken_3171;11/03/2022;21:09:01;1;0;0.2253;0.2981;0.306;0.2395;0.3333;0.349;0.059;0.106;0.123;0;Chicken;800;16;+9C;0.096;0.0331511689085016;0.276466666666667;0.0444873390228426;Aspat_800
Chicken_2105;11/03/2022;21:46:39;1;0;0.4066;0.3641;0.4301;0.8099;0.7849;0.8895;0.498;0.536;0.516;0;Chicken;801;11;MMM;0.516666666666667;0.0190087699058444;0.400266666666667;0.033452702930157;Aspat_801
Chicken_2125;11/03/2022;21:38:59;1;0;0.3964;0.3886;0.3837;0.9008;0.8847;0.8803;0.56;0.561;0.564;0;Chicken;801;4;MMM;0.561666666666667;0.00208166599946607;0.389566666666667;0.0064049460054971;Aspat_801
Chicken_2161;11/03/2022;21:42:26;1;0;0.4291;0.4027;0.3729;0.7771;0.8255;0.8446;0.448;0.512;0.558;0;Chicken;801;8;MMM;0.506;0.0552449092677326;0.401566666666667;0.0281171359375974;Aspat_801
Chicken_2397;11/03/2022;21:11:30;1;0;0.3817;0.3407;0.3314;0.8729;0.8441;0.8602;0.563;0.596;0.615;0;Chicken;801;5;+3C;0.591333333333333;0.0263122278291545;0.351266666666667;0.0267630964825323;Aspat_801
Chicken_382;11/03/2022;21:23:08;1;0;0.3788;0.3412;0.3172;0.7967;0.8128;0.8627;0.525;0.58;0.632;1;Chicken;801;9;+3C;0.579;0.053507008886687;0.345733333333333;0.0310492082561429;Aspat_801
Chicken_830;11/03/2022;21:16:07;1;0;0.3954;0.3807;0.4194;0.8079;0.8456;0.9296;0.511;0.55;0.549;0;Chicken;801;7;+3C;0.536666666666667;0.0222336081942031;0.3985;0.0195353525691245;Aspat_801
Chicken_2245;11/03/2022;21:32:18;1;0;0.4819;0.4462;0.4414;0.8954;0.7981;0.8974;0.461804779986598;0.440922190201729;0.50813461109873;2;Chicken;801;10;+6C;0.470287193762352;0.0343997222126318;0.4565;0.0221275845947993;Aspat_801
Chicken_266;11/03/2022;21:26:04;1;0;0.437;0.4413;0.3553;0.7805;0.8382;0.8754;0.44;0.473;0.594;0;Chicken;801;3;+6C;0.502333333333333;0.0810822627541519;0.4112;0.048458538979214;Aspat_801
Chicken_366;11/03/2022;21:33:24;1;0;0.4296;0.3636;0.3534;0.8333;0.8201;0.8412;0.484;0.557;0.58;0;Chicken;801;13;+6C;0.540333333333333;0.0501231815962767;0.3822;0.0413652027675436;Aspat_801
Chicken_170;11/03/2022;21:00:32;1;0;0.0963;0.1281;0.0978;0.1202;0.1603;0.1202;0.199;0.201;0.187;0;Chicken;801;6;+9C;0.195666666666667;0.00757187779440037;0.1074;0.0179424078651668;Aspat_801
Chicken_2569;11/03/2022;21:03:43;1;0;0.0479;0.0469;0.044;0.0552;0.0543;0.0508;0.133;0.135;0.135;0;Chicken;801;12;+9C;0.134333333333333;0.00115470053837925;0.0462666666666667;0.00202566861389847;Aspat_801
Chicken_2577;11/03/2022;21:07:02;1;0;0.3275;0.3172;0.3265;0.3793;0.3861;0.415;0.137;0.178;0.213;0;Chicken;801;16;+9C;0.176;0.0380394532032205;0.323733333333333;0.00568008215903023;Aspat_801
Chicken_2106;11/03/2022;21:46:39;1;0;0.327;0.3016;0.3128;0.7424;0.7258;0.7488;0.56;0.585;0.582;0;Chicken;802;11;MMM;0.575666666666667;0.0136503968196288;0.3138;0.0127294933127757;Aspat_802
Chicken_2126;11/03/2022;21:38:59;1;0;0.3895;0.3925;0.4062;0.9154;0.8314;0.9003;0.574;0.528;0.549;0;Chicken;802;4;MMM;0.550333333333333;0.0230289672658878;0.396066666666667;0.00890299575049507;Aspat_802
Chicken_2162;11/03/2022;21:42:26;1;0;0.3485;0.3118;0.3196;0.7737;0.7893;0.824;0.55;0.605;0.612;0;Chicken;802;8;MMM;0.589;0.0339558536926993;0.326633333333333;0.0193345114583569;Aspat_802
Chicken_2398;11/03/2022;21:11:30;1;0;0.261;0.26;0.2458;0.6564;0.6838;0.6848;0.602;0.62;0.641;0;Chicken;802;5;+3C;0.621;0.0195192212959432;0.2556;0.00850176452273292;Aspat_802
Chicken_383;11/03/2022;21:23:08;1;0;0.2639;0.261;0.2864;0.7258;0.7615;0.8011;0.636;0.657;0.642;1;Chicken;802;9;+3C;0.645;0.010816653826392;0.270433333333333;0.0139033569087948;Aspat_802
Chicken_831;11/03/2022;21:16:07;1;0;0.3016;0.3192;0.3196;0.7209;0.759;0.7977;0.582;0.58;0.599;0;Chicken;802;7;+3C;0.587;0.0104403065089106;0.313466666666667;0.0102787807318443;Aspat_802
Chicken_267;11/03/2022;21:26:04;1;0;0.3021;0.3123;0.3343;0.5704;0.5885;0.7146;0.47;0.469;0.532;0;Chicken;802;3;+6C;0.490333333333333;0.0360878557597059;0.316233333333333;0.0164564070602709;Aspat_802
Chicken_367;11/03/2022;21:33:24;1;0;0.2996;0.2835;0.2937;0.7107;0.7214;0.7385;0.578;0.607;0.602;0;Chicken;802;13;+6C;0.595666666666667;0.015502687938978;0.292266666666667;0.00814514170124335;Aspat_802
Chicken_171;11/03/2022;21:00:32;1;0;0.1114;0.0992;0.13;0.1349;0.1256;0.1711;0.174;0.21;0.24;0;Chicken;802;6;+9C;0.208;0.0330454232837166;0.113533333333333;0.0155104266006236;Aspat_802
Chicken_2570;11/03/2022;21:03:43;1;0;0.1486;0.2551;0.2312;0.1979;0.3446;0.3275;0.249;0.26;0.294;0;Chicken;802;12;+9C;0.267666666666667;0.0234591844132172;0.211633333333333;0.0558811536507017;Aspat_802
Chicken_2578;11/03/2022;21:07:02;1;0;0.2674;0.2532;0.3109;0.37;0.3617;0.4492;0.277;0.3;0.308;0;Chicken;802;16;+9C;0.295;0.0160934769394311;0.277166666666667;0.0300643199379819;Aspat_802
Chicken_2107;11/03/2022;21:46:39;1;0;0.2996;0.306;0.3412;0.6515;0.7053;0.7698;0.54;0.566;0.557;0;Chicken;803;11;MMM;0.554333333333333;0.0132035348802255;0.3156;0.0224;Aspat_803
Chicken_2127;11/03/2022;21:38:59;1;0;0.4096;0.415;0.3866;0.868;0.8539;0.8377;0.528;0.514;0.539;0;Chicken;803;4;MMM;0.527;0.0125299640861417;0.403733333333333;0.0150815560647213;Aspat_803
Chicken_2163;11/03/2022;21:42:26;1;0;0.2776;0.325;0.3421;0.6672;0.8016;0.8534;0.584;0.595;0.599;0;Chicken;803;8;MMM;0.592666666666667;0.00776745346515404;0.3149;0.0334151163397646;Aspat_803
Chicken_2399;11/03/2022;21:11:30;1;0;0.2796;0.3001;0.3094;0.6906;0.8118;0.8744;0.595;0.63;0.646;0;Chicken;803;5;+3C;0.623666666666667;0.0260832002126529;0.296366666666667;0.0152467482872032;Aspat_803
Chicken_384;11/03/2022;21:23:08;1;0;0.2859;0.2801;0.3016;0.6515;0.7185;0.7473;0.561;0.61;0.596;1;Chicken;803;9;+3C;0.589;0.0252388589282479;0.2892;0.0111233987611701;Aspat_803
Chicken_832;11/03/2022;21:16:07;1;0;0.3016;0.2981;0.327;0.6779;0.7375;0.8265;0.555;0.596;0.604;0;Chicken;803;7;+3C;0.585;0.0262868788561898;0.3089;0.0157724443254684;Aspat_803
Chicken_268;11/03/2022;21:26:04;1;0;0.3294;0.3211;0.3211;0.6735;0.7312;0.762;0.511;0.561;0.579;0;Chicken;803;3;+6C;0.550333333333333;0.0352325606979302;0.323866666666667;0.00479200723427391;Aspat_803
Chicken_368;11/03/2022;21:33:24;1;0;0.3069;0.3016;0.3368;0.6417;0.6931;0.8456;0.522;0.565;0.602;0;Chicken;803;13;+6C;0.563;0.0400374824383352;0.3151;0.0189786722401753;Aspat_803
Chicken_172;11/03/2022;21:00:32;1;0;0.0709;0.0753;0.0982;0.0929;0.1012;0.1315;0.237;0.256;0.253;0;Chicken;803;6;+9C;0.248666666666667;0.0102143689640297;0.0814666666666667;0.0146575350360602;Aspat_803
Chicken_2571;11/03/2022;21:03:43;1;0;0.154;0.2126;0.2693;0.1799;0.2669;0.3509;0.144;0.203;0.233;0;Chicken;803;12;+9C;0.193333333333333;0.0452806065919322;0.211966666666667;0.0576526090765486;Aspat_803
Chicken_2579;11/03/2022;21:07:02;1;0;0.1559;0.2102;0.2727;0.1921;0.2678;0.3675;0.188;0.215;0.258;0;Chicken;803;16;+9C;0.220333333333333;0.0353034464795342;0.212933333333333;0.0584479540560089;Aspat_803
Chicken_2008;11/03/2022;21:44:38;1;0;0.3607;0.2859;0.3016;0.849;0.7996;0.8309;0.575;0.642;0.637;1;Chicken;804;8;MMM;0.618;0.0373229152130431;0.316066666666667;0.0394426588015227;Aspat_804
Chicken_2140;11/03/2022;21:48:11;1;0;0.3084;0.3123;0.2805;0.7522;0.8539;0.8255;0.59;0.634;0.66;0;Chicken;804;11;MMM;0.628;0.0353836120259083;0.3004;0.0173438749995495;Aspat_804
Chicken_625;11/03/2022;21:39:35;1;0;0.3255;0.2727;0.2571;0.8578;0.824;0.7933;0.621;0.669;0.676;0;Chicken;804;4;MMM;0.655333333333333;0.0299388265189759;0.2851;0.0358463387251753;Aspat_804
Chicken_2344;11/03/2022;21:15:38;1;0;0.3407;0.2898;0.282;0.8441;0.8353;0.8651;0.596;0.653;0.674;0;Chicken;804;7;+3C;0.641;0.0403608721412212;0.304166666666667;0.0318782580034313;Aspat_804
Chicken_2384;11/03/2022;21:12:56;1;0;0.3421;0.3167;0.2937;0.7849;0.8578;0.8651;0.564;0.631;0.66;0;Chicken;804;5;+3C;0.618333333333333;0.0492375195692608;0.3175;0.0242099153240981;Aspat_804
Chicken_4012;11/03/2022;21:21:41;1;0;0.3558;0.2708;0.2624;0.9125;0.8763;0.8656;0.610082191780822;0.690973410932329;0.696857670979667;2;Chicken;804;9;+3C;0.665971091230939;0.0484905448555197;0.296333333333333;0.0516706235043988;Aspat_804
Chicken_17;11/03/2022;21:34:09;1;0;0.4003;0.3964;0.3719;0.806;0.8925;0.8695;0.503;0.556;0.572;0;Chicken;804;13;+6C;0.543666666666667;0.0361155552820849;0.389533333333333;0.0153949125795937;Aspat_804
Chicken_2292;11/03/2022;21:26:44;1;0;0.371;0.3412;0.2991;0.7893;0.8201;0.7786;0.53;0.584;0.616;0;Chicken;804;3;+6C;0.576666666666667;0.0434664621672081;0.3371;0.0361249221452448;Aspat_804
Chicken_3064;11/03/2022;21:29:24;1;0;0.3558;0.3289;0.3074;0.7977;0.8167;0.8196;0.554;0.597;0.625;0;Chicken;804;10;+6C;0.592;0.0357631094844953;0.3307;0.0242501546386822;Aspat_804
Chicken_2528;11/03/2022;21:08:48;1;0;0.1041;0.1251;0.1359;0.1339;0.1657;0.1833;0.223;0.245;0.259;0;Chicken;804;16;+9C;0.242333333333333;0.0181475434517549;0.1217;0.0161703432245577;Aspat_804
Chicken_2572;11/03/2022;21:04:03;1;0;0.0943;0.1295;0.1408;0.1588;0.2204;0.2395;0.406;0.412;0.412;0;Chicken;804;12;+9C;0.41;0.00346410161513773;0.121533333333333;0.0242520789486867;Aspat_804
Chicken_2648;11/03/2022;21:01:15;1;0;0.0459;0.0679;0.0767;0.0557;0.086;0.0992;0.175;0.21;0.227;0;Chicken;804;6;+9C;0.204;0.0265141471671257;0.0635;0.0158644256120416;Aspat_804
Chicken_2009;11/03/2022;21:44:38;1;0;0.3289;0.2947;0.282;0.8441;0.8182;0.8226;0.61;0.64;0.657;1;Chicken;805;8;MMM;0.635666666666667;0.0237977589981354;0.301866666666667;0.0242574387216238;Aspat_805
Chicken_2141;11/03/2022;21:48:11;1;0;0.3128;0.3265;0.2854;0.7493;0.8309;0.7605;0.583;0.607;0.625;0;Chicken;805;11;MMM;0.605;0.0210713075057055;0.308233333333333;0.0209270956736317;Aspat_805
Chicken_626;11/03/2022;21:39:35;1;0;0.2972;0.2683;0.2869;0.8138;0.759;0.8118;0.635;0.646;0.647;0;Chicken;805;4;MMM;0.642666666666667;0.0066583281184794;0.284133333333333;0.0146472978167761;Aspat_805
Chicken_2345;11/03/2022;21:15:38;1;0;0.3167;0.2991;0.2864;0.8807;0.8773;0.8607;0.64;0.659;0.667;0;Chicken;805;7;+3C;0.655333333333333;0.0138684293751432;0.300733333333333;0.0152158908162925;Aspat_805
Chicken_2385;11/03/2022;21:12:56;1;0;0.3138;0.2849;0.2874;0.8573;0.7898;0.8069;0.634;0.639;0.644;0;Chicken;805;5;+3C;0.639;0.005;0.295366666666667;0.0160125992060419;Aspat_805
Chicken_4013;11/03/2022;21:21:41;1;0;0.3328;0.3016;0.2996;0.85;0.8143;0.8627;0.608470588235294;0.629620532973106;0.652718210270082;2;Chicken;805;9;+3C;0.630269777159494;0.022130954621153;0.311333333333333;0.0186175544401872;Aspat_805
Chicken_18;11/03/2022;21:34:09;1;0;0.3817;0.3441;0.3519;0.8514;0.8504;0.9052;0.552;0.595;0.611;0;Chicken;805;13;+6C;0.586;0.0305122926047847;0.359233333333333;0.0198437227690102;Aspat_805
Chicken_2293;11/03/2022;21:26:44;1;0;0.435;0.3895;0.3597;0.893;0.9345;0.8622;0.513;0.583;0.583;0;Chicken;805;3;+6C;0.559666666666667;0.0404145188432738;0.394733333333333;0.037921805512572;Aspat_805
