"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"1937","max","535",0.385645169586029,0.0487807172414822,7.90568879249861,2.08118015541299e-14,"W2.3","North Direction"
"1938","max","536",0.247801727198199,0.0420015101854143,5.89982898482188,7.16169085782161e-09,"W2.3","North Direction"
"1939","max","537",0.490608205067567,0.848538799530441,0.578180049443888,0.563431787675385,"W2.3","North Direction"
"1940","max","538",0.176783556099517,0.103211416142244,1.71282947862935,0.0874327350554096,"W2.3","North Direction"
"1941","e","487",35.8887523174714,0.619965195919848,57.8883339801405,6.24550589335334e-211,"W2.3","North Direction"
"1942","e","488",35.8629719647603,0.540031059305345,66.4090913787286,5.90679039968776e-235,"W2.3","North Direction"
"1943","e","489",35.8477909951727,0.616800627920089,58.1189275310158,1.28848882275174e-211,"W2.3","North Direction"
"1944","e","490",35.8685123583448,0.648205977416871,55.3350533749818,3.37003605172763e-203,"W2.3","North Direction"
"1945","e","491",35.8877506994845,0.496302280200917,72.3102676154462,3.60933622123918e-250,"W2.3","North Direction"
"1946","e","492",35.8767725604079,0.308381866921861,116.338787745579,0,"W2.3","North Direction"
"1947","e","493",35.7119868390262,0.417254494004163,85.5880220637476,7.05156507656811e-281,"W2.3","North Direction"
"1948","e","494",35.6553947967694,0.35143647656933,101.456158293049,1.77693242526273e-312,"W2.3","North Direction"
"1949","e","495",36.1620509578619,NA,NA,NA,"W2.3","North Direction"
"1950","e","496",36.0166546964323,0.782254534156405,46.0421168862552,1.14345027198452e-172,"W2.3","North Direction"
"1951","e","497",36.0483121416108,0.964073435709607,37.391666242808,1.95880358132916e-140,"W2.3","North Direction"
"1952","e","498",35.6885960147554,0.283458550449649,125.90410823079,0,"W2.3","North Direction"
"1953","e","499",35.6920345092501,0.381738680514933,93.4986060650301,3.09448330275168e-297,"W2.3","North Direction"
"1954","e","500",35.907661364782,0.651203497682963,55.140461457201,1.34219076740284e-202,"W2.3","North Direction"
"1955","e","501",35.8863557160412,0.556353229486957,64.5028262874179,8.38185600336061e-230,"W2.3","North Direction"
"1956","e","502",36.0541921324626,0.580447589801734,62.1144660877612,3.58094399844326e-223,"W2.3","North Direction"
"1957","e","503",36.01108510528,NA,NA,NA,"W2.3","North Direction"
"1958","e","504",35.9753134958028,1.17283543649443,30.6737947851678,1.23311869985334e-112,"W2.3","North Direction"
"1959","e","505",35.6438705991681,0.31770240436603,112.192637226951,0,"W2.3","North Direction"
"1960","e","506",35.5260009407365,0.486134583475901,73.0785304076143,4.50535153316562e-252,"W2.3","North Direction"
"1961","e","507",35.8286200969605,0.341722415093506,104.847146439477,1.21541137008238e-318,"W2.3","North Direction"
"1962","e","508",34.8731908220762,0.472042939049981,73.8771580658763,4.92755013301645e-254,"W2.3","North Direction"
"1963","e","509",35.8634688755944,0.664388877414982,53.9796346608521,5.50934336706698e-199,"W2.3","North Direction"
"1964","e","510",35.857489148325,0.430047825904907,83.3802358444056,4.50205123586126e-276,"W2.3","North Direction"
