"","ED50","Std.error","Lower","Upper","Site.name","Term","Genotype","Model"
"e:1708:50",36.0441640891255,0.0925185336347947,35.8623698216179,36.225958356633,"Fitzroy Reef","ED50","1708","W2.3"
"e:1660:50",37.0898874981195,0.516246194789142,36.0754896780492,38.1042853181899,"Fitzroy Reef","ED50","1660","W2.3"
"e:1685:50",36.4327976964459,0.18002695110338,36.0790537878293,36.7865416050626,"Fitzroy Reef","ED50","1685","W2.3"
"e:1669:50",36.686203256375,0.336854059557866,36.024301963646,37.348104549104,"Fitzroy Reef","ED50","1669","W2.3"
"e:1686:50",36.23997756337,0.118110140849757,36.0078970742244,36.4720580525155,"Fitzroy Reef","ED50","1686","W2.3"
"e:1668:50",37.6102268822808,0.719911646087007,36.1956366890645,39.0248170754971,"Fitzroy Reef","ED50","1668","W2.3"
"e:1692:50",36.7485182235288,0.271879863025292,36.2142879606083,37.2827484864493,"Fitzroy Reef","ED50","1692","W2.3"
"e:1712:50",37.1422543826975,0.498879646581472,36.1619809568054,38.1225278085897,"Fitzroy Reef","ED50","1712","W2.3"
"e:1658:50",36.3542898678252,0.12573378142371,36.1072293082069,36.6013504274434,"Fitzroy Reef","ED50","1658","W2.3"
"e:1676:50",36.9638803374413,0.584573107529675,35.8152235687612,38.1125371061213,"Fitzroy Reef","ED50","1676","W2.3"
"e:1710:50",36.1618835551703,0.0720300767902983,36.020348075368,36.3034190349726,"Fitzroy Reef","ED50","1710","W2.3"
"e:1701:50",36.4867003737612,0.133690640993804,36.2240049850944,36.7493957624281,"Fitzroy Reef","ED50","1701","W2.3"
"e:1715:50",36.6337958806595,0.186926535154916,36.2664946362369,37.001097125082,"Fitzroy Reef","ED50","1715","W2.3"
"e:1696:50",36.4062612653483,0.194720045355724,36.0236461651759,36.7888763655206,"Fitzroy Reef","ED50","1696","W2.3"
"e:1700:50",36.4193725159502,0.123724440958733,36.1762602093322,36.6624848225682,"Fitzroy Reef","ED50","1700","W2.3"
"e:1707:50",36.3239486007282,0.115696960739141,36.0966098891848,36.5512873122716,"Fitzroy Reef","ED50","1707","W2.3"
"e:1670:50",36.6738183893315,0.305602922532951,36.0733240098017,37.2743127688614,"Fitzroy Reef","ED50","1670","W2.3"
"e:1680:50",35.98703246915,0.0708463522279239,35.8478229486047,36.1262419896953,"Fitzroy Reef","ED50","1680","W2.3"
"e:1716:50",37.4882987197807,1.06965274930807,35.3864848408937,39.5901125986677,"Fitzroy Reef","ED50","1716","W2.3"
"e:1677:50",37.3253403209545,0.909934572617164,35.5373646299249,39.1133160119841,"Fitzroy Reef","ED50","1677","W2.3"
"e:1695:50",36.73440633175,0.305549689807007,36.1340165518505,37.3347961116496,"Fitzroy Reef","ED50","1695","W2.3"
"e:1697:50",35.8024932588642,0.315260897260877,35.1830214445189,36.4219650732095,"Fitzroy Reef","ED50","1697","W2.3"
"e:1657:50",36.2094496825501,0.109254052710308,35.9947709613859,36.4241284037142,"Fitzroy Reef","ED50","1657","W2.3"
"e:1666:50",36.2923339816039,0.29901765930293,35.7047793132672,36.8798886499407,"Fitzroy Reef","ED50","1666","W2.3"
"e:1683:50",37.2797976288021,0.812242070436432,35.6837827933674,38.8758124642368,"Fitzroy Reef","ED50","1683","W2.3"
"e:1687:50",36.5836209293651,0.21601505277428,36.1591622101563,37.0080796485739,"Fitzroy Reef","ED50","1687","W2.3"
"e:1709:50",35.9574920882472,0.0771214198566045,35.8059523752712,36.1090318012231,"Fitzroy Reef","ED50","1709","W2.3"
"e:1671:50",38.759214953182,1.35578512918833,36.095165332256,41.423264574108,"Fitzroy Reef","ED50","1671","W2.3"
"e:1672:50",36.2394537206596,0.13934265349837,35.9656524115588,36.5132550297604,"Fitzroy Reef","ED50","1672","W2.3"
"e:1681:50",35.9590759969405,0.0750341882481657,35.811637589146,36.106514404735,"Fitzroy Reef","ED50","1681","W2.3"
"e:1682:50",36.8052571882137,0.58631370704649,35.6531802289864,37.957334147441,"Fitzroy Reef","ED50","1682","W2.3"
"e:1665:50",36.6204390762547,NA,NA,NA,"Fitzroy Reef","ED50","1665","W2.3"
"e:1659:50",35.9611611743129,0.0721940257851093,35.8193035429778,36.1030188056479,"Fitzroy Reef","ED50","1659","W2.3"
"e:1664:50",37.109027435077,0.484231696452866,36.1575364948069,38.0605183753471,"Fitzroy Reef","ED50","1664","W2.3"
"e:1698:50",36.616398236793,0.450572769168251,35.7310453965381,37.5017510770479,"Fitzroy Reef","ED50","1698","W2.3"
"e:1704:50",36.0979461860902,0.0894831321700642,35.9221163298653,36.273776042315,"Fitzroy Reef","ED50","1704","W2.3"
"e:1699:50",36.2194719996211,0.107544301565654,36.0081528535037,36.4307911457385,"Fitzroy Reef","ED50","1699","W2.3"
"e:1773:50",35.93570244913,0.0660900862901032,35.8058280261381,36.0655768721219,"Heron","ED50","1773","W2.3"
"e:1752:50",35.9738625162293,0.0700813514925429,35.8361448100118,36.1115802224467,"Heron","ED50","1752","W2.3"
"e:1737:50",36.854812219925,0.827254657763604,35.2291641480973,38.4804602917526,"Heron","ED50","1737","W2.3"
"e:1731:50",36.6869385236845,0.99713253600402,34.7274613913421,38.6464156560269,"Heron","ED50","1731","W2.3"
"e:1749:50",36.0818016007214,0.0826487698920947,35.9193875095427,36.2442156919001,"Heron","ED50","1749","W2.3"
"e:1763:50",36.6618340115384,0.653995412426032,35.3766597653532,37.9470082577236,"Heron","ED50","1763","W2.3"
"e:1754:50",35.9632005062225,0.0726466090827589,35.8204417814794,36.1059592309657,"Heron","ED50","1754","W2.3"
"e:1732:50",36.687377416849,0.460862122489801,35.7817317202393,37.5930231134587,"Heron","ED50","1732","W2.3"
"e:1753:50",36.1086105173959,0.0997715586049138,35.9125482282965,36.3046728064954,"Heron","ED50","1753","W2.3"
"e:1772:50",36.1395384381328,0.114190274499658,35.9151417571112,36.3639351191545,"Heron","ED50","1772","W2.3"
"e:1767:50",36.2062082024421,0.148999926650243,35.9134066555566,36.4990097493276,"Heron","ED50","1767","W2.3"
"e:1741:50",36.0957268707223,0.0967859138922253,35.9055317079361,36.2859220335084,"Heron","ED50","1741","W2.3"
"e:1762:50",36.6206055387402,0.539009156530567,35.5613921661855,37.6798189112949,"Heron","ED50","1762","W2.3"
"e:1742:50",36.3373478895879,0.333865004104403,35.6812657568619,36.9934300223139,"Heron","ED50","1742","W2.3"
"e:1746:50",36.8114124150813,0.454938709820912,35.9174068879085,37.7054179422541,"Heron","ED50","1746","W2.3"
"e:1765:50",36.2711645513762,0.183385925067443,35.9107906656708,36.6315384370817,"Heron","ED50","1765","W2.3"
"e:1760:50",36.5801623217262,0.617475447312387,35.3667538979671,37.7935707454853,"Heron","ED50","1760","W2.3"
"e:1748:50",36.2293735976409,0.154198299513065,35.9263566657566,36.5323905295251,"Heron","ED50","1748","W2.3"
"e:1733:50",35.9841848959755,0.138744128869497,35.7115371405868,36.2568326513642,"Heron","ED50","1733","W2.3"
"e:1743:50",38.3821765622973,1.00175828539516,36.4136093142235,40.3507438103712,"Heron","ED50","1743","W2.3"
"e:1729:50",36.6445886073853,0.861172351853116,34.9522884672012,38.3368887475694,"Heron","ED50","1729","W2.3"
"e:1719:50",36.6641146906022,0.571458183168351,35.5411353457543,37.7870940354501,"Heron","ED50","1719","W2.3"
"e:1728:50",36.5684204245817,0.642656361196559,35.3055286842665,37.8313121648969,"Heron","ED50","1728","W2.3"
"e:1761:50",36.3822604241439,0.405270335153906,35.5858588170584,37.1786620312294,"Heron","ED50","1761","W2.3"
"e:1726:50",36.649591804974,0.65495464855605,35.3625325523394,37.9366510576086,"Heron","ED50","1726","W2.3"
"e:1717:50",36.6429262386038,0.71500056356275,35.2378700366192,38.0479824405885,"Heron","ED50","1717","W2.3"
"e:1766:50",36.0677982900975,0.0927082521597091,35.8856161893966,36.2499803907983,"Heron","ED50","1766","W2.3"
"e:1759:50",36.0799265589774,0.11279709304164,35.8582676355854,36.3015854823694,"Heron","ED50","1759","W2.3"
"e:1730:50",36.6555438893763,0.916875229065264,34.8537813556169,38.4573064231358,"Heron","ED50","1730","W2.3"
"e:1736:50",36.4137852979745,0.369989645343819,35.6867141985196,37.1408563974294,"Heron","ED50","1736","W2.3"
"e:1745:50",36.2612413128317,0.299540940570649,35.6726098099417,36.8498728157217,"Heron","ED50","1745","W2.3"
"e:1764:50",36.4755620331426,0.374080577017079,35.7404517946823,37.2106722716029,"Heron","ED50","1764","W2.3"
"e:1718:50",37.158622241535,1.43058538382306,34.3473617077063,39.9698827753637,"Heron","ED50","1718","W2.3"
"e:1755:50",35.9789005339024,0.0624350198997984,35.8562087258091,36.1015923419957,"Heron","ED50","1755","W2.3"
"e:1725:50",39.3334905193783,2.38870982465258,34.639408129924,44.0275729088327,"Heron","ED50","1725","W2.3"
"e:1739:50",36.8479068375079,0.96023670935632,34.9609341376101,38.7348795374057,"Heron","ED50","1739","W2.3"
"e:1724:50",36.3910362650394,0.362007592814458,35.6796507929566,37.1024217371221,"Heron","ED50","1724","W2.3"
"e:1738:50",36.1565045687346,0.157599220914103,35.846804445325,36.4662046921442,"Heron","ED50","1738","W2.3"
"e:1722:50",36.4004784282772,0.270065092045213,35.8697702696333,36.931186586921,"Heron","ED50","1722","W2.3"
"e:1758:50",36.0263710268299,0.0720585904410325,35.8847678245878,36.1679742290721,"Heron","ED50","1758","W2.3"
"e:1721:50",36.3090127659925,0.189340585423899,35.9369373056437,36.6810882263413,"Heron","ED50","1721","W2.3"
"e:1723:50",36.3847890889943,0.279255202830139,35.836021333179,36.9335568448095,"Heron","ED50","1723","W2.3"
"e:1776:50",37.4691078018917,2.1200719993961,33.3029288319584,41.6352867718249,"Heron","ED50","1776","W2.3"
"e:1735:50",36.3384829936156,0.33971973651056,35.6708956558626,37.0060703313686,"Heron","ED50","1735","W2.3"
"e:1756:50",35.8916284151565,0.0874290191500398,35.719820598701,36.0634362316121,"Heron","ED50","1756","W2.3"
"e:1744:50",36.4268637142213,0.291411684792232,35.8542071095777,36.999520318865,"Heron","ED50","1744","W2.3"
"e:1747:50",36.4034604775881,0.330133216248624,35.7547117260347,37.0522092291415,"Heron","ED50","1747","W2.3"
"e:1720:50",36.1906489306895,0.101616333884924,35.9909614515125,36.3903364098665,"Heron","ED50","1720","W2.3"
